,annotation,correction,status
96,hornedgrebe,hornedgrebe,wild
97,open_bill_stork,openbilledstork,wild
98,crestedgoshawk,crestedgoshawk,wild
99,partridge,partridge,unknown
100,anseranserdomesticus,domesticgoose,domestic
101,shortbilledgull,shortbilledgull,wild
102,doublecrestedcormorant,doublecrestedcormorant,wild
103,beangoose,beangoose,wild
104,greaterwhitefrontedgoose,greaterwhitefrontedgoose,wild
105,withetiledeagle,whitetailedeagle,wild
106,muscovyduck,muscovyduck,unknown
107,africancrownedcrane,africancrownedcrane,unknown
108,treeswallow,treeswallow,wild
109,westernsandpiper,westernsandpiper,wild
110,barn_swallow,barnswallow,wild
111,littleegret,littleegret,wild
112,caspiantern,caspiantern,wild
113,willet,willet,wild
114,laughinggull,laughinggull,wild
115,turtle_dove,turtledove,wild
116,shortearedowl,shortearedowl,wild
117,commoneiders,commoneider,wild
118,chicken,chicken,domestic
119,musdk,muscovyduck,unknown
120,blackbrant,blackbrant,wild
121,cinnamonteal,cinnamonteal,wild
122,harrishawk,harrishawk,wild
123,taiwanesechicken,taiwanesechicken,domestic
124,sakerfalcon,sakerfalcon,wild
125,cacklinggoose,cacklinggoose,wild
126,thalasseussandvicensis,sandwichtern,wild
127,mandarin_duck,mandarinduck,wild
128,munia,munia,wild
129,americanwoodstork,americanwoodstork,wild
130,greaterscaup,greaterscaup,wild
131,bluejay,bluejay,wild
132,capeteal,capeteal,unknown
133,americanwigeon,americanwigeon,wild
134,americancrow,americancrow,wild
135,broilerchicken,chicken,domestic
136,emu,emu,domestic
137,hoabara,houbarabustard,wild
138,greygoose,greygoose,unknown
139,domesticturkey,domesticturkey,domestic
140,snowyegret,snowyegret,wild
141,hillmyna,commonhillmyna,wild
142,larksparrow,larksparrow,wild
143,indianrunnerduck,indianrunnerduck,domestic
144,eurasiancurlew,eurasiancurlew,wild
145,open-billstork,openbilledstork,wild
146,rthawk,redtailedhawk,wild
147,peacock,peafowl,unknown
148,gullspp,gull,wild
149,commonpochard,commonpochard,wild
150,multispecies,multispecies,unknown
151,eurasianeagleowl,eurasianeagleowl,wild
152,ringneckedpheasant,ringneckedpheasant,wild
153,baldeagle,baldeagle,wild
154,qu,quail,unknown
155,pochard,commonpochard,wild
156,grey_heron,greyheron,wild
157,ringbilledgull,ringbilledgull,wild
158,eider,commoneider,wild
159,commoncrane,commoncrane,wild
160,marabou_stork,maraboustork,unknown
161,wildduck,wildduck,wild
162,domestic_duck,domesticduck,domestic
163,eurasianteal,eurasianteal,wild
164,feralpigeon,pigeon,wild
165,fishcrow,fishcrow,wild
166,blackbilledmagpie,blackbilledmagpie,wild
167,oystercatcher,oystercatcher,wild
168,heringgull,herringgull,wild
169,swallow,swallow,wild
170,juvenileswan,swan,wild
171,magpierobin,magpierobin,wild
172,longearedowl,longearedowl,wild
173,mergusalbellus,smew,wild
174,commonkestrel,commonkestrel,wild
175,wild_bird,bird,wild
176,whitewingedscoter,whitewingedscoter,wild
177,ruddyduck,ruddyduck,wild
178,laridae,gull,wild
179,robin,robin,wild
180,summertanager,summertanager,wild
181,brentgoose,brentgoose,wild
182,crestedcaracara,crestedcaracara,wild
183,anatinae,wildduck,wild
184,grackle,grackle,wild
185,greatblackbackedgulll,greatblackbackedgull,wild
186,corvusossifragus,fishcrow,wild
187,gadwallduck,gadwall,wild
188,merlin,merlin,wild
189,piedmegpie,australianmagpie,wild
190,duck,duck,unknown
191,great_crested_grebe,greatcrestedgrebe,wild
192,eurasianwigeon,eurasianwigeon,wild
193,pheasant,pheasant,unknown
194,shorttailedshearwaters,shorttailedshearwater,wild
195,pelecanuscrispus,dalmatianpelican,wild
196,whitetailedeagle,whitetailedeagle,wild
197,hooded_crane,hoodedcrane,wild
198,snowyowl,snowyowl,wild
199,backyardbird,backyardbird,domestic
200,anasacuta,northernpintail,wild
201,village_chicken,chicken,domestic
202,mountainhawk-eagle,mountainhawkeagle,wild
203,brandtgoose,brant,wild
204,guinea_fowl,guineafowl,unknown
205,darkeyedjunco,darkeyedjunco,wild
206,mixed,multispecies,unknown
207,eagle,eagle,wild
208,redheadduck,redheadduck,wild
209,gadwall_duck,gadwall,wild
210,blackbulbul,blackbulbul,wild
211,yellowbilledduck,yellowbilledduck,wild
212,lesserblackbackedgull,lesserblackbackedgull,wild
213,fancychicken,chicken,domestic
214,brown_headedgull,brownheadedgull,wild
215,falcoperegrinus,peregrinefalcon,wild
216,greatdrestedgrebe,greatcrestedgrebe,wild
217,europeanherringgull,europeanherringgull,wild
218,sparrow,sparrow,wild
219,lesserkestrel,lesserkestrel,wild
220,wild_duck,duck,unknown
221,condor,condor,wild
222,commonmagpie,commongreenmagpie,wild
223,domestic_green_winged_teal,domesticgreenwingedteal,domestic
224,americanblackduck,americanblackduck,wild
225,villagechicken,chicken,domestic
226,layerchicken,chicken,domestic
227,redhead,redheadduck,wild
228,peregrine_falcon,peregrinefalcon,wild
229,pacificloon,pacificloon,wild
230,rosssgoose,rosssgoose,wild
231,crestedscreamer,crestedscreamer,unknown
232,ck,chicken,domestic
233,greateryellowlegs,greateryellowlegs,wild
234,tufted_duck,tuftedduck,wild
235,commonmerganser,commonmerganser,wild 
236,turkey,turkey,unknown
237,lorikeet,lorikeet,unknown
